0,0/0/0/0/0
25529/25641,0/1/0/0/0
38268,0/0/0/0/0
24396/34676/49134/52028/55397,1/1/0/2/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
52630/52716/100068/103735/103772/108615/110506/111534/124106/131012/131031/132763/132875/133248/135749/135827,0/4/0/10/0
114224/122284/122284/123756/123763/131254/137060/144288/148459/148699/149343,0/1/0/10/0
33068,1/0/0/0/0
78715/80236/80242,0/2/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
40097/40097,0/0/0/2/0
0,0/0/0/0/0
59202/66748/85603/86318/91992/91993/107530/114164,6/0/0/0/0
24801/24803/24819/31267/43401/43402/49582/51209/56341/57241,7/3/0/0/0
0,0/0/0/0/0
65458/65459/65465/93541/94640/97190/103083/108933,0/2/0/5/0
47828,1/0/0/0/0
56450/61123/65949,1/1/0/0/0
54196/74991/120310/121645/141951/144371/148012/148026/150518/151633/154943/154947/156308/160432/162602/164042,2/1/0/11/0
0,0/0/0/0/0
42629/55133/79618/87763/87763/87764/90189/90354/90358/96998,2/4/0/1/0
48074/88825/88825/96131/96132,0/1/0/3/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
62970/68813/69615/77146/87285,1/2/0/1/0
67565/117899/117900/123726/124973/124973/126431/126432,2/1/0/1/0
48023/64179,1/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
66330/66331/66331/86598/93231,0/0/0/3/0
82616/83901,0/1/0/1/0
67763/81530,0/1/0/1/0
45290,0/0/0/0/0
0,0/0/0/0/0
62352/89810/115350/124654,1/0/0/2/0
0,0/0/0/0/0
82330/83453,0/1/0/1/0
0,0/0/0/0/0
0,0/0/0/0/0
51819,0/0/0/0/0
57914/58713,1/1/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
85827,0/0/0/1/0
75849/83949/83950/85146/98663/98664/111581/111859/111860/112066/112231/119206/119222/123433,7/2/0/1/0
72576,0/1/0/0/0
16123/16126,0/0/0/2/0
66584/66661/72120/84591/86899/95846/95852/123867/124960/127065/129845/131935,0/2/0/10/0
82469/82743/96218,1/0/0/1/0
54192/66851/68590/68729/69681/71163/71164/71165/82605/84734,2/2/0/1/0
0,0/0/0/0/0
61163/61168/86350/103597/103598/105861,0/0/0/5/0
85922/87549/90794,1/0/0/1/0
37433,0/0/0/1/0
0,0/0/0/0/0
0,0/0/0/0/0
38024,1/0/0/0/0
12072/12081,0/0/0/2/0
31885/33459,0/0/0/2/0
0,0/0/0/0/0
0,0/0/0/0/0
59569/72102/72102/80930/93421/112799/114630/123638/124622/124632/124777,0/1/0/10/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
60557,0/0/0/1/0
58594/62864/63211,2/0/0/1/0
0,0/0/0/0/0
63723/63725/68596,0/1/0/1/0
81461/83024,0/1/0/1/0
31077,1/0/0/0/0
38492,0/0/0/1/0
70931,0/0/0/1/0
0,0/0/0/0/0
56470/56471,2/0/0/0/0
54280/54281,0/0/0/2/0
44106/55221/63079/63080/68524,3/0/0/0/0
0,0/0/0/0/0
93519/95135/103287/104537,0/2/0/2/0
46089,0/0/0/0/0
37218/38305/38453/38578/54141/66985/88908,0/0/0/6/0
38378/38378/41501/41501,0/2/0/0/0
97422/109473/128632/131007/132132/133139/136752/138473/139113/139116/142517/143176,2/5/0/2/0
42006/42007/85801/91393/93080/95905/96037/96136/96638/96639/98576/100253,4/2/0/3/0
26681/51147,0/0/0/2/0
17377,1/0/0/0/0
49984/65717/69633/79562,1/1/0/1/0
54011/54120/54122,3/0/0/0/0
58471/64158/74365/74365/78980/78981/80624/89116/94279/95097,3/1/0/4/0
0,0/0/0/0/0
60156,0/0/0/0/0
0,0/0/0/0/0
61917,1/0/0/0/0
72172,0/1/0/0/0
46150/46178,0/1/0/0/0
61278/77487,0/0/0/2/0
65764/78009/78027/78549,3/0/0/1/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
55238,0/0/0/1/0
31164,1/0/0/0/0
0,0/0/0/0/0
28464/28472/28481/29411,4/0/0/0/0
0,0/0/0/0/0
27048,0/0/0/1/0
61654,0/0/0/1/0
0,0/0/0/0/0
53457,1/0/0/0/0
55569/79899/79902/84157/90603,2/1/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
77647,1/0/0/0/0
0,0/0/0/0/0
43407/51552/68429,2/0/0/0/0
66775,1/0/0/0/0
81257/97619/106428/110610/110807/111087/111090/112584,4/1/0/2/0
0,0/0/0/0/0
0,0/0/0/0/0
96043/98420/98836/109562/109566/109986,3/1/0/1/0
67444,0/1/0/0/0
71795/81196/81197,2/1/0/0/0
75226,0/0/0/0/0
69999/73059/73059,0/1/0/1/0
43901/43911/43912/59302/77516/84121,1/1/0/4/0
69860/99683/113634,0/0/0/1/0
0,0/0/0/0/0
71311/71313/78491/85824/94858/101035/103878/107177/116070/116070,0/0/0/9/0
0,0/0/0/0/0
74129,0/1/0/0/0
77568/77575,0/1/0/0/0
68739,1/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
101404/112411/116421/116425/121589/125046/127183,3/1/0/2/0
60631/86915/101150,0/0/0/3/0
0,0/0/0/0/0
16398/35962/36818/42866/42869/42935,5/0/0/1/0
35638/42809,0/0/0/1/0
44647/46131/53045/68090/68538/73680/73984/74718/79275,2/5/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
33352/33352/33356,3/0/0/0/0
0,0/0/0/0/0
